MONTH,CURRENCY,avgValue
1,AUD,1.5878226120857697
1,BGN,1.9556139830508292
1,BRL,3.6599184374999987
1,CAD,1.4867512670565304
1,CHF,1.344029824561404
1,CNY,8.407812912087914
1,CYP,0.578789274611399
1,CZK,28.372054580896698
1,DKK,7.449047173489282
1,EEK,15.64660000000003
1,GBP,0.7739674853801162
1,HKD,9.332840545808978
1,HRK,7.479224999999993
1,HUF,286.3426900584799
1,IDR,14290.369450549457
1,ILS,4.342364980544745
1,INR,74.44617986577181
1,ISK,100.90093333333331
1,JPY,127.52444444444453
1,KRW,1349.5312085769997
1,LTL,3.5836944606414107
1,LVL,0.6655498442367601
1,MTL,0.4227683937823837
1,MXN,19.572441874999996
1,MYR,4.5514585164835175
1,NOK,8.625683820662777
1,NZD,1.8162596491228056
1,PHP,58.64092032967027
1,PLN,4.147179142300194
1,ROL,28623.892617449663
1,RON,4.354026098901099
1,RUB,56.78445219780222
1,SEK,9.431009161793371
1,SGD,1.7593524366471744
1,SIT,221.58356725146186
1,SKK,39.76552093023255
1,THB,40.96524725274725
1,TRL,1047845.078125
1,TRY,4.017640259740266
1,USD,1.1998218323586733
1,ZAR,11.726504873294358
2,AUD,1.582328719008263
2,BGN,1.9550920993227878
2,BRL,3.646437623762376
2,CAD,1.4823836776859505
2,CHF,1.3430834710743786
2,CNY,8.363173469387759
2,CYP,0.5794339226519342
2,CZK,28.380194214876038
2,DKK,7.449294834710744
2,EEK,15.64660000000003
2,GBP,0.7705255371900818
2,HKD,9.294703099173558
2,HRK,7.478738192419818
2,HUF,286.4672727272727
2,IDR,14255.692886297375
2,ILS,4.350856611570249
2,INR,74.20312978723396
2,ISK,101.82046357615899
2,JPY,127.43064049586772
2,KRW,1349.3438223140492
2,LTL,3.5625105263158017
2,LVL,0.6639904290429045
2,MTL,0.4213740331491714
2,MXN,19.507147194719472
2,MYR,4.528847813411076
2,NOK,8.59897809917355
2,NZD,1.8131946280991742
2,PHP,58.333720116618096
2,PLN,4.1579671487603305
2,ROL,28159.17021276596
2,RON,4.3450577259475205
2,RUB,57.25096734693877
2,SEK,9.443648966942149
2,SGD,1.7512545454545454
2,SIT,222.10093167701882
2,SKK,39.66054455445543
2,THB,40.63730903790088
2,TRL,1043700.9669421487
2,TRY,4.002811845730027
2,USD,1.1945820247933883
2,ZAR,11.669261157024792
3,AUD,1.5848101145038154
3,BGN,1.9545951882844996
3,BRL,3.713735582822085
3,CAD,1.4815986641221368
3,CHF,1.3393471374045804
3,CNY,8.365213207547175
3,CYP,0.5795623737373742
3,CZK,28.424227099236667
3,DKK,7.44911832061069
3,EEK,15.646600000000028
3,GBP,0.7764516221374035
3,HKD,9.269948664122134
3,HRK,7.473237735849054
3,HUF,288.7833969465649
3,IDR,14331.725283018863
3,ILS,4.319970229007633
3,INR,74.02097719869704
3,ISK,103.63012232415907
3,JPY,127.35803435114504
3,KRW,1355.8791030534342
3,LTL,3.5507775862069093
3,LVL,0.6628981651376139
3,MTL,0.4207878787878785
3,MXN,19.682580368098147
3,MYR,4.534721832884096
3,NOK,8.62684828244275
3,NZD,1.8213791984732817
3,PHP,58.563277628032296
3,PLN,4.173538167938933
3,ROL,28351.725490196077
3,RON,4.349914016172505
3,RUB,55.16583896848134
3,SEK,9.478555152671756
3,SGD,1.750154580152672
3,SIT,222.46835227272732
3,SKK,39.689709677419344
3,THB,40.593989218328815
3,TRL,1063933.3333333333
3,TRY,4.203311989795919
3,USD,1.1911503816793896
3,ZAR,11.71257557251909
4,AUD,1.5701245283018863
4,BGN,1.9543130434782507
4,BRL,3.6743578595317734
4,CAD,1.472624737945493
4,CHF,1.3415995807127887
4,CNY,8.550675910364145
4,CYP,0.5802908988764043
4,CZK,28.3223857442348
4,DKK,7.4491140461215934
4,EEK,15.64660000000003
4,GBP,0.7722195178197063
4,HKD,9.299167295597494
4,HRK,7.457925770308124
4,HUF,287.3626624737946
4,IDR,14244.345518207281
4,ILS,4.298162025316456
4,INR,74.17026967509024
4,ISK,104.85157190635451
4,JPY,128.71272536687638
4,KRW,1344.5467924528298
4,LTL,3.535869592476499
4,LVL,0.6611802675585284
4,MTL,0.419476404494382
4,MXN,19.38370401337793
4,MYR,4.539590756302523
4,NOK,8.5649322851153
4,NZD,1.8076584905660384
4,PHP,59.28537815126053
4,PLN,4.142254088050313
4,ROL,28934.028368794327
4,RON,4.3347928571428564
4,RUB,53.49588520710061
4,SEK,9.460473165618453
4,SGD,1.7448651991614266
4,SIT,223.14251572327052
4,SKK,39.534684999999975
4,THB,41.378341736694686
4,TRL,1104077.1083333334
4,TRY,4.190698879551819
4,USD,1.1948798742138358
4,ZAR,11.688019496855336
5,AUD,1.566506407766992
5,BGN,1.954389830508462
5,BRL,3.7130500000000013
5,CAD,1.4596306796116516
5,CHF,1.3404475728155336
5,CNY,8.534556217616583
5,CYP,0.5795932307692313
5,CZK,28.323572815533996
5,DKK,7.447964271844663
5,EEK,15.64660000000003
5,GBP,0.7709174368932039
5,HKD,9.268145242718463
5,HRK,7.434535233160623
5,HUF,287.2829514563102
5,IDR,14122.773005181347
5,ILS,4.301147674418604
5,INR,74.28670401337791
5,ISK,104.66170278637767
5,JPY,128.29411650485434
5,KRW,1340.3859805825255
5,LTL,3.5153639534883814
5,LVL,0.6609839009287936
5,MTL,0.4193620512820511
5,MXN,19.458266249999994
5,MYR,4.537308808290157
5,NOK,8.551323300970873
5,NZD,1.8114563106796118
5,PHP,59.20065544041449
5,PLN,4.15521572815534
5,ROL,29191.880794701985
5,RON,4.334434890109888
